gene,umap_x,umap_y,cluster
ZNF33A,9.201262,-9.746685,1
GAN,0.16285759,-7.440091,1
FBXL7,3.2535527,4.6341677,9
ECHDC1,13.896672,12.055101,15
ALG9,7.1848497,5.437206,9
MRPS18C,10.791845,16.76257,0
TRIM63,6.72234,9.912228,5
GPSM2,16.460434,-6.4769754,18
FAM13B,8.998267,1.9431858,9
R3HDM2,5.7467346,20.128565,17
COL12A1,9.749413,2.5583858,7
ANKHD1,8.024395,7.1427126,6
IQCB1,20.439186,9.530444,15
RANGAP1,-3.7505636,0.83103496,2
STAU2,5.960314,3.3334877,9
VPS39,5.8931513,4.130545,9
PTPN2,9.292056,15.210509,0
TET3,9.235596,-7.3695498,18
DHX37,12.001928,-7.635641,1
TNFRSF25,5.926934,4.186764,9
PSMA3-AS1,17.846592,2.9144585,7
PTPN14,3.9368594,-9.493603,1
GFPT1,14.970631,12.240827,15
RTKN2,-6.5945187,-2.1845453,19
AL021368.2,4.457602,-7.355358,1
BCL11A,5.6469374,3.0571454,9
LRP1,11.248462,11.701219,0
MTHFSD,-6.9552402,0.34627795,19
NFKBIZ,16.225447,13.148013,15
PDGFD,7.1829844,7.7126403,6
LZTR1,4.8791804,3.5979435,9
MFSD2A,4.7887573,-2.5110877,13
HAUS5,4.3116283,5.0633764,9
IKZF5,9.217337,2.1096551,18
HIPK1,17.054955,6.8528686,7
STARD4,8.645,21.845774,17
UQCRHL,3.648396,-9.479328,1
TNC,20.097187,2.0791516,7
S100A6,0.18951151,11.358537,8
TNRC18,10.242157,-8.288401,1
TNNT1,-4.4105215,7.3915896,4
CITED2,9.207199,14.686359,0
CHD9,3.8002696,18.98135,3
PCF11,13.572038,21.044598,11
MT1X,0.31548268,14.1577,10
PLCB1,13.897083,-7.79835,18
EXOSC10,20.186316,11.791677,15
PGBD1,-7.010536,0.36491022,19
PPP1R9A,15.669466,12.423277,15
TRMU,3.5708659,-9.4194355,1
YPEL5,14.4698715,17.80902,11
CYP4V2,2.927068,3.7705793,9
KIAA0753,3.9329252,3.625975,9
GGA3,6.6467886,-3.208049,13
PTPN11,8.985388,13.757259,0
MINK1,6.561306,-2.5670185,13
TRNAU1AP,9.2221,14.507259,0
SKIL,16.928356,12.493237,15
RC3H1,20.084211,8.830043,15
RGMB,7.4817514,21.714605,17
LGALS3,9.389731,15.121232,0
PIGF,20.79299,-5.405777,18
CNTN3,8.150526,-1.7057712,13
Z97200.1,4.918303,3.3645666,9
GRK3,6.145052,-3.2495053,13
ZNHIT6,12.280083,16.922176,11
GTF2IRD1,22.769516,-1.2993935,18
