gene,cell_type,mean_wt,mean_ko,log2fc
PAX6,intermediate,0.4500587544065805,0.4582843713278496,0.026129731767117678
FANCD2,intermediate,0.3795534665099882,0.3554641598119859,-0.09459902227437712
LIG1,intermediate,0.3615354484919702,0.3172737955346651,-0.1884087393170923
HIST1H1C,intermediate,0.5066588327457893,0.5417156286721504,0.096521102281481
REXO5,intermediate,0.2436349392871132,0.21171171171171171,-0.2026199615030645
UBE2S,intermediate,1.8147277712495105,1.8848413631022327,0.05468996011323251
CDKN2C,intermediate,0.6083039561300431,0.5969447708578144,-0.027194926848848874
HIST1H2AG,intermediate,0.18762240501370936,0.16686251468860164,-0.16917222455368539
TUBA1B,intermediate,13.389737563650607,12.999020759890325,-0.04272473790359004
FIGNL1,intermediate,0.48413631022326675,0.4670975323149236,-0.05168947690279855
CD9,intermediate,1.6030160595377987,1.5955738347042694,-0.006713508504679535
DDB2,intermediate,0.3734821778300039,0.36506071288679987,-0.032902983569365774
NCAPG2,intermediate,0.36799843321582454,0.3538973756365061,-0.05636856039924801
CKS1B,intermediate,1.537406972189581,1.5566000783392089,0.017899218571748074
RTKN2,intermediate,0.3039561300430866,0.30806893850372113,0.019390113165193384
SPC24,intermediate,0.33411672542107324,0.28065021543282415,-0.2515790362335366
