x,y,population,cell_type,time
2.6861205,1.5378108,intermediate,intermediate,32.0
-2.0186377,11.409841,quiescent,quiescent,0.0
4.1860785,2.5201318,intermediate,proliferative,48.0
0.84835947,0.73439056,intermediate,intermediate,48.0
7.0534997,3.133816,proliferative,proliferative,80.0
2.1999092,3.6375408,quiescent,quiescent,32.0
-1.8344549,5.1296477,intermediate,quiescent,16.0
-0.5861534,1.6005567,intermediate,quiescent,32.0
5.8694954,3.960404,proliferative,proliferative,64.0
2.932986,3.022734,intermediate,intermediate,48.0
7.4700193,8.704268,proliferative,proliferative,80.0
-0.6797898,7.3290563,quiescent,quiescent,16.0
-1.9748508,2.4652472,quiescent,intermediate,32.0
4.4294467,5.963831,proliferative,proliferative,80.0
1.7637815,5.3668895,quiescent,quiescent,16.0
-1.2194954,3.7760897,intermediate,intermediate,32.0
1.6417137,0.30338314,intermediate,intermediate,48.0
7.130471,3.3595583,proliferative,proliferative,80.0
1.5481807,9.467012,quiescent,quiescent,0.0
1.0500691,5.0052547,quiescent,intermediate,48.0
7.5423036,5.36761,proliferative,proliferative,64.0
6.8397527,6.187416,proliferative,proliferative,80.0
0.20724766,3.1287227,intermediate,intermediate,64.0
8.914314,5.1368675,proliferative,proliferative,80.0
6.6611514,3.1730328,proliferative,proliferative,64.0
1.6522651,2.0895274,intermediate,intermediate,32.0
6.2144485,3.0089018,proliferative,proliferative,80.0
-1.8583673,6.6194267,quiescent,quiescent,16.0
-1.280215,4.911209,quiescent,quiescent,64.0
-1.0199589,6.6792917,quiescent,quiescent,16.0
-0.16812843,3.1844275,intermediate,intermediate,64.0
7.256103,2.0207136,proliferative,proliferative,80.0
4.3282666,2.907401,proliferative,proliferative,48.0
0.7487195,7.327947,quiescent,quiescent,16.0
-0.6973291,2.9917824,intermediate,intermediate,48.0
1.3860956,0.3311156,intermediate,intermediate,48.0
-1.4380985,2.429184,intermediate,intermediate,48.0
0.5924033,2.9330027,intermediate,intermediate,32.0
-1.0542954,5.8814793,intermediate,quiescent,16.0
-2.4194741,7.221263,quiescent,quiescent,0.0
5.511931,2.325307,proliferative,proliferative,64.0
-2.4505954,6.9468694,quiescent,quiescent,16.0
3.0690148,2.7301812,proliferative,intermediate,48.0
0.7630854,3.744158,intermediate,quiescent,16.0
-1.8034172,7.337668,quiescent,quiescent,16.0
-0.33118325,8.890884,quiescent,quiescent,0.0
-0.59741265,4.1562457,intermediate,intermediate,32.0
-1.3588052,7.469087,quiescent,quiescent,16.0
2.1559424,6.113245,quiescent,quiescent,32.0
-0.39176646,2.4236658,intermediate,intermediate,64.0
8.054212,4.0746865,proliferative,proliferative,80.0
7.775278,3.0806775,proliferative,proliferative,80.0
-1.565702,6.6490226,quiescent,quiescent,16.0
6.01453,2.8515203,proliferative,proliferative,80.0
-1.8688229,7.8434844,quiescent,quiescent,16.0
-1.4495969,6.831514,quiescent,quiescent,16.0
8.586013,6.9118547,proliferative,proliferative,80.0
3.3566673,-0.053769022,proliferative,intermediate,32.0
0.9498725,3.217622,intermediate,intermediate,32.0
